Card_Code_1,Card_Code_2,Add_Code,Add_Card_KR,Base_Damage_1,Base_Damage_2,Damage_Count,Last_Damage_Count,Fire_Effect_1,Fire_Effect_2,Elec_Effect_1,Elec_Effect_2,Captiv_Effect_1,Captiv_Effect_2,Curse_Effect_1,Curse_Effect_2,Recover_HP,Attack_Effect_Code,Explain_Up_1,Explain_Up_2,Explain_Down
C11,F11,C11F11,LV.1 브레이크 + LV.1 화염,7,0,1,0,3,0,0,0,0,0,0,0,0,,적에게 6데미지,적에게 7데미지,적 화상 3턴 부여
C11,E11,C11E11,LV.1 브레이크 + LV.1 스파크,8,0,1,0,0,0,2,0,0,0,0,0,0,,적에게 6데미지,적에게 8데미지,적 손상 2턴 부여
C11,M11,C11M11,LV.1 브레이크 + LV.1 매혹,6,0,1,0,0,0,0,0,2,0,0,0,0,,적에게 6데미지,적에게 6데미지,적 혼란 2턴 부여
C11,V11,C11V11,LV.1 브레이크 + LV.1 볼륨 업,12,0,1,0,0,0,0,0,0,0,0,0,0,,적에게 6데미지,적에게 12데미지,공격피해 100% 상승
C11,G11,C11G11,LV.1 브레이크 + LV.1 저주,6,0,1,0,0,0,0,0,0,0,2,0,0,,적에게 6데미지,적에게 6데미지,적 약화 2턴 부여
C12,F11,C12F11,LV.2 브레이크 + LV.1 화염,11,0,1,0,3,0,0,0,0,0,0,0,0,,적에게 10데미지,적에게 11데미지,적 화상 3턴 부여
C12,E11,C12E11,LV.2 브레이크 + LV.1 스파크,12,0,1,0,0,0,2,0,0,0,0,0,0,,적에게 10데미지,적에게 12데미지,적 손상 2턴 부여
C12,M11,C12M11,LV.2 브레이크 + LV.1 매혹,10,0,1,0,0,0,0,0,2,0,0,0,0,,적에게 10데미지,적에게 10데미지,적 혼란 2턴 부여
C12,V11,C12V11,LV.2 브레이크 + LV.1 볼륨 업,20,0,1,0,0,0,0,0,0,0,0,0,0,,적에게 10데미지,적에게 20데미지,공격피해 100% 상승
C12,G11,C12G11,LV.2 브레이크 + LV.1 저주,10,0,1,0,0,0,0,0,0,0,2,0,0,,적에게 10데미지,적에게 10데미지,적 약화 2턴 부여
C21,F11,C21F11,LV.1 디스토션 + LV.1 화염,5,3,1,0,2,2,0,0,0,0,0,0,0,,적에게 4데미지,적에게 5데미지,주변 모든 적 3데미지 + 화상 2턴
C21,E11,C21E11,LV.1 디스토션 + LV.1 스파크,6,4,1,0,0,0,1,1,0,0,0,0,0,,적에게 4데미지,적에게 6데미지,주변 모든 적 4데미지 + 손상 1턴
C21,M11,C21M11,LV.1 디스토션 + LV.1 매혹,4,2,1,0,0,0,0,0,1,1,0,0,0,,적에게 4데미지,적에게 4데미지,주변 모든 적 2데미지 + 혼란 1턴
C21,V11,C21V11,LV.1 디스토션 + LV.1 볼륨 업,6,3,1,0,0,0,0,0,0,0,0,0,0,,적에게 4데미지,적에게 6데미지,주변 모든 적 3데미지
C21,G11,C21G11,LV.1 디스토션 + LV.1 저주,4,2,1,0,0,0,0,0,0,0,1,1,0,,적에게 4데미지,적에게 4데미지,주변 모든 적 2데미지 + 약화 1턴
C22,F11,C22F11,LV.2 디스토션 + LV.1 화염,7,5,1,0,2,2,0,0,0,0,0,0,0,,적에게 6데미지,적에게 7데미지,주변 모든 적 5데미지 + 화상 2턴
C22,E11,C22E11,LV.2 디스토션 + LV.1 스파크,8,6,1,0,0,0,1,1,0,0,0,0,0,,적에게 6데미지,적에게 8데미지,주변 모든 적 6데미지 + 손상 1턴
C22,M11,C22M11,LV.2 디스토션 + LV.1 매혹,6,4,1,0,0,0,0,0,1,1,0,0,0,,적에게 6데미지,적에게 6데미지,주변 모든 적 4데미지 + 혼란 1턴
C22,V11,C22V11,LV.2 디스토션 + LV.1 볼륨 업,9,6,1,0,0,0,0,0,0,0,0,0,0,,적에게 6데미지,적에게 9데미지,주변 모든 적 6데미지
C22,G11,C22G11,LV.2 디스토션 + LV.1 저주,6,4,1,0,0,0,0,0,0,0,1,1,0,,적에게 6데미지,적에게 6데미지,주변 모든 적 4데미지 + 약화 1턴
C31,F11,C31F11,LV.1 솔로(2타격) + LV.1 화염,2,0,2,1,2,0,0,0,0,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,"마지막 공격 데미지+1, 3회 타격시 화상 +3턴"
C31,E11,C31E11,LV.1 솔로(2타격) + LV.1 스파크,2,0,2,2,0,0,1,0,0,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,"마지막 공격 데미지+2, 3회 타격시 손상 +3턴"
C31,M11,C31M11,LV.1 솔로(2타격) + LV.1 매혹,2,0,2,0,0,0,0,0,1,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,3회 타격시 혼란 +3턴
C31,V11,C31V11,LV.1 솔로(2타격) + LV.1 볼륨 업,3,0,2,0,0,0,0,0,0,0,0,0,0,,적에게 2데미지 2~3회 공격!,적에게 3데미지 2~3회 공격!,기본 공격 데미지 추가!
C31,G11,C31G11,LV.1 솔로(2타격) + LV.1 저주,2,0,2,0,0,0,0,0,0,0,1,0,0,,적에게 2데미지 2~3회 공격!,적에게 2데미지 2~3회 공격!,3회 타격시 약화 +3턴
C32,F11,C32F11,LV.2 솔로(2타격) + LV.1 화염,4,0,2,1,2,0,0,0,0,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,"마지막 공격 데미지+1, 3회 타격시 화상 +3턴"
C32,E11,C32E11,LV.2 솔로(2타격) + LV.1 스파크,4,0,2,2,0,0,1,0,0,0,0,0,0,,적에게 4데미지 2~3회 공격!,적에게 4데미지 2~3회 공격!,"마지막 공격 데미지+2, 3회 타격시 손상 +3턴"
