Item_ID,Name,Price,PCMaxHP_UP,FireDm_UP,EnDm_Down,EnDf_Down,EnAF_Up,Tag,Example
IT01,치즈맛 카세트,20,50,0,0,0,0,HP UP,보유 시 최대체력 50이 증가합니다.
IT02,뜨거운 카세트,12,0,5,0,0,0,화상 UP,보유 시 화상 데미지가 1 증가합니다.
IT03,불길한 카세트,12,0,0,1,0,0,약화 UP,보유 시 약화의 효과가 1 증가합니다.
IT04,짜릿한 카세트,12,0,0,0,1,0,감전 UP,보유 시 감전의 효과가 1 증가합니다.
IT05,19 카세트,19,0,0,0,0,20,매혹 UP,보유 시 매혹의 효과가 20% 증가합니다.
C131,솔로,15,0,0,0,0,0,일반,짧은 기타 솔로를 휘몰아쳐 상대에게 3 데미지를 3회 줍니다.
C141,하모닉 웨이브,15,0,0,0,0,0,일반,깊게 울리는 하모닉의 여운으로 상대에게 5 데미지를 주고 체력 5를 회복합니다.
C221,짜릿한 연주,17,0,0,0,0,0,속성,짜릿한 전기 쇼크 사운드로 2 데미지와 손상 2턴을 부여합니다.
C231,사랑의 세레나데,17,0,0,0,0,0,속성,매혹적인 멜로디로 2 데미지와 매료 2턴을 부여합니다.
C311,착취의 연주,10,0,0,0,0,0,속성,불협화음의 저주로 2 데미지와 약화 2턴을 부여합니다.
C331,정화의 연주,12,0,0,0,0,0,특수,청량한 연주으로 2 데미지를 주며 캐릭터에게 부여된 디버프를 제거합니다.
C341,피크 정리,20,0,0,0,0,0,특수,피크를 정리하며 2 데미지를 주며 현재들고있는 피크를 버리고 그 수만큼 드로우합니다.
C351,프리스타일,17,0,0,0,0,0,특수,프리스타일로 연주하며 무작위 공격를 발휘합니다.
