Item_ID,Name,Price,PCMaxHP_UP,FireDm_UP,EnDm_Down,EnDf_Down,EnAF_Up,Tag,Example
IT01,치즈맛 카세트,20,50,0,0,0,0,HP UP,보유 시 최대체력 50이 증가합니다.
IT02,뜨거운 카세트,12,0,10,0,0,0,화상 UP,보유 시 화상 데미지가 10% 증가합니다.
IT03,불길한 카세트,12,0,0,10,0,0,약화 UP,보유 시 공격력 약화의 효과가 10% 증가합니다.
IT04,짜릿한 카세트,12,0,0,0,10,0,감전 UP,보유 시 취약의 효과가 10% 증가합니다.
IT05,19 카세트,19,0,0,0,0,20,매혹 UP,보유 시 매혹의 효과가 20% 증가합니다.
C1011,음표 폭탄,15,0,0,0,0,0,일반,전체 <color=#FF0000>5 데미지</color>
C1012,음표 폭탄,15,0,0,0,0,0,일반,전체 <color=#FF0000>5 데미지</color>
C1021,브레이크,17,0,0,0,0,0,속성,단일  <color=#FF0000>7 데미지</color>
C1022,브레이크,17,0,0,0,0,0,속성,단일  <color=#FF0000>7 데미지</color>
C1031,기타 보호막,10,0,0,0,0,0,속성,<color=#0070C0>배리어 6</color> 획득
C1032,기타 보호막,12,0,0,0,0,0,특수,<color=#0070C0>배리어 6</color> 획득
C1041,숨고르기,20,0,0,0,0,0,특수,<color=#00B050>체력 4</color>회복
C1042,숨고르기,17,0,0,0,0,0,특수,<color=#00B050>체력 4</color>회복
C1051,코드 미스,15,0,0,0,0,0,0,단일 <color=#BF4D13>취약 2턴</color> 부여
C1052,코드 미스,15,0,0,0,0,0,0,단일 <color=#BF4D13>취약 2턴</color> 부여
C1061,불꽃 연주,17,0,0,0,0,0,0,단일 <color=#BF4D13>화상 2턴</color> 부여
C1062,불꽃 연주,17,0,0,0,0,0,0,단일 <color=#BF4D13>화상 2턴</color> 부여
C1071,디스토션,10,0,0,0,0,0,0,단일 <color=#BF4D13>공격력 약화 2턴</color> 부여
C1072,디스토션,12,0,0,0,0,0,0,단일 <color=#BF4D13>공격력 약화 2턴</color> 부여
C1081,볼륨 업!,20,0,0,0,0,0,0,해당 턴  <color=#BF4D13>공격력 2</color> 증가
C1082,볼륨 업!,17,0,0,0,0,0,0,해당 턴  <color=#BF4D13>공격력 2</color> 증가
C1091,기타 벽,15,0,0,0,0,0,0,<color=#0070C0>배리어 12</color> 획득
C1092,기타 벽,15,0,0,0,0,0,0,<color=#0070C0>배리어 12</color> 획득
C1101,트랜지션,17,0,0,0,0,0,0,현재 <color=#0070C0>배리어</color> 양만큼 <color=#FF0000>데미지</color>
C1102,트랜지션,17,0,0,0,0,0,0,현재 <color=#0070C0>배리어</color> 양만큼 <color=#FF0000>데미지</color>
C1111,프리스타일,10,0,0,0,0,0,0,랜덤 <color=#FF0000>3 데미지</color> 3번 공격
C1112,프리스타일,12,0,0,0,0,0,0,랜덤 <color=#FF0000>3 데미지</color> 3번 공격
C1121,락신의 재물,20,0,0,0,0,0,0,모든 카드를버리고 버린 카드 수 만큼 <color=#0070C0>배리어를 3</color>씩 부여
C1122,락신의 재물,17,0,0,0,0,0,0,모든 카드를버리고 버린 카드 수 만큼 <color=#0070C0>배리어를 3</color>씩 부여
C1131,팬 호응,15,0,0,0,0,0,0,이후부터 카드를 발동 할 때마다 <color=#0070C0>배리어 5</color> 획득
C1132,팬 호응,15,0,0,0,0,0,0,이후부터 카드를 발동 할 때마다 <color=#0070C0>배리어 5</color> 획득
C2011,피나는 샤우팅,17,0,0,0,0,0,0,체력 5 잃고 단일 <color=#FF0000>15 데미지</color>
C2012,피나는 샤우팅,17,0,0,0,0,0,0,체력 5 잃고 단일 <color=#FF0000>15 데미지</color>
C2021,파워 스트로킹,10,0,0,0,0,0,0,전체 <color=#FF0000>5 데미지</color> x번 공격
C2022,파워 스트로킹,12,0,0,0,0,0,0,전체 <color=#FF0000>5 데미지</color> x번 공격
C2031,노래 폭탄,20,0,0,0,0,0,0,단일 <color=#FF0000>10 데미지</color>
C2032,노래 폭탄,17,0,0,0,0,0,0,단일 <color=#FF0000>10 데미지</color>
C2041,파워 브레이크,15,0,0,0,0,0,0,전체 <color=#FF0000>8 데미지</color>
C2042,파워 브레이크,15,0,0,0,0,0,0,전체 <color=#FF0000>8 데미지</color>
C2051,무모한 앵콜,17,0,0,0,0,0,0,체력 5 잃고 <color=#0070C0>배리어 15</color> 획득
C2052,무모한 앵콜,17,0,0,0,0,0,0,체력 5 잃고 <color=#0070C0>배리어 15</color> 획득
C2061,마이크 쇼크,10,0,0,0,0,0,0,전체 <color=#BF4D13>공격력 약화 1턴</color> 1턴 부여
C2062,마이크 쇼크,12,0,0,0,0,0,0,전체 <color=#BF4D13>공격력 약화 1턴</color> 1턴 부여
C2071,변주,20,0,0,0,0,0,0,<color=#0070C0>배리어</color> 수만큼 즉시 <color=#00B050>체력 회복</color>
C2072,변주,17,0,0,0,0,0,0,<color=#0070C0>배리어</color> 수만큼 즉시 <color=#00B050>체력 회복</color>
C2081,템포 파괴,15,0,0,0,0,0,0,전체 <color=#BF4D13>취약 1턴</color> 1턴 부여
C2082,템포 파괴,15,0,0,0,0,0,0,전체 <color=#BF4D13>취약 1턴</color> 1턴 부여
C2091,무아지경,17,0,0,0,0,0,0,<color=#0070C0>배리어</color> 있는 동안은 맞으면  <color=#00B050>체력 x 회복</color>
C2092,무아지경,17,0,0,0,0,0,0,<color=#0070C0>배리어</color> 있는 동안은 맞으면  <color=#00B050>체력 x 회복</color>
C2101,기타의 오라,10,0,0,0,0,0,0,<color=#0070C0>배리어</color> 있는 동안은 맞으면 적도 <color=#FF0000>x 데미지</color>
C2102,기타의 오라,12,0,0,0,0,0,0,<color=#0070C0>배리어</color> 있는 동안은 맞으면 적도 <color=#FF0000>x 데미지</color>
C3011,전설적인 솔로,20,0,0,0,0,0,0,단일 <color=#FF0000>18 데미지</color>
C3012,전설적인 솔로,17,0,0,0,0,0,0,단일 <color=#FF0000>18 데미지</color>
